route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
11365.,198,G70,,,2,,AACD46,FFFFFF
11365.1,198,G70,,,3,"https://www.mavcsoport.hu/mav-start/belfoldi-utazas/vaganyzar",ffff00,000000
1137.,198,Z72,,,2,,3C3C3C,FFCD28
11370.,198,G70,,,2,,AACD46,FFFFFF
11375.,198,Z70,,,2,,FFCD28,3C3C3C
11376.,198,Z70,,,2,,FFCD28,3C3C3C
11377.,198,Z70,,,2,,FFCD28,3C3C3C
1138.,198,Z72,,,2,,3C3C3C,FFCD28
11382.,198,Z70,,,2,,FFCD28,3C3C3C
11383.,198,Z70,,,2,,FFCD28,3C3C3C
11384.,198,Z70,,,2,,FFCD28,3C3C3C
11385.,198,Z70,,,2,,FFCD28,3C3C3C
11386.,198,Z70,,,2,,FFCD28,3C3C3C
11387.,198,Z70,,,2,,FFCD28,3C3C3C
11388.,198,Z70,,,2,,FFCD28,3C3C3C
11389.,198,Z70,,,2,,FFCD28,3C3C3C
1139.,198,Z72,,,2,,3C3C3C,FFCD28
11390.,198,Z70,,,2,,FFCD28,3C3C3C
11391.,198,Z70,,,2,,FFCD28,3C3C3C
11392.,198,Z70,,,2,,FFCD28,3C3C3C
11393.,198,Z70,,,2,,FFCD28,3C3C3C
11394.,198,Z70,,,2,,FFCD28,3C3C3C
11395.,198,Z70,,,2,,FFCD28,3C3C3C
11396.,198,Z70,,,2,,FFCD28,3C3C3C
11398.,198,S70,,,3,"https://www.mavcsoport.hu/mav-start/belfoldi-utazas/vaganyzar",ffff00,000000
11398.1,198,S70,,,2,,00AFF0,FFFFFF
1140.,198,S72,,,2,,00AFF0,FFFFFF
11401.,198,S70,,,2,,00AFF0,FFFFFF
11402.,198,S70,,,2,,00AFF0,FFFFFF
11403.,198,S70,,,2,,00AFF0,FFFFFF
11404.,198,S70,,,2,,00AFF0,FFFFFF
11418.,198,Z70,,,2,,FFCD28,3C3C3C
11419.,198,Z70,,,2,,FFCD28,3C3C3C
1142.,198,Z72,,,2,,3C3C3C,FFCD28
11420.,198,Z70,,,2,,FFCD28,3C3C3C
11421.,198,Z70,,,2,,FFCD28,3C3C3C
11422.,198,Z70,,,2,,FFCD28,3C3C3C
11423.,198,Z70,,,2,,FFCD28,3C3C3C
11424.,198,Z70,,,2,,FFCD28,3C3C3C
11425.,198,Z70,,,2,,FFCD28,3C3C3C
11426.,198,Z70,,,2,,FFCD28,3C3C3C
11427.,198,Z70,,,2,,FFCD28,3C3C3C
11428.,198,Z70,,,2,,FFCD28,3C3C3C
11429.,198,Z70,,,2,,FFCD28,3C3C3C
1143.,198,Z72,,,2,,3C3C3C,FFCD28
11430.,198,S70,,,2,,00AFF0,FFFFFF
11431.,198,S70,,,2,,00AFF0,FFFFFF
11432.,198,S70,,,2,,00AFF0,FFFFFF
11434.,198,G70,,,2,,AACD46,FFFFFF
11440.,198,S70,,,2,,00AFF0,FFFFFF
11441.,198,S70,,,2,,00AFF0,FFFFFF
11442.,198,S70,,,2,,00AFF0,FFFFFF
11446.,198,Z70,,,2,,FFCD28,3C3C3C
11447.,198,Z70,,,2,,FFCD28,3C3C3C
11448.,198,Z70,,,2,,FFCD28,3C3C3C
11449.,198,Z70,,,2,,FFCD28,3C3C3C
11450.,198,Z70,,,2,,FFCD28,3C3C3C
11451.,198,Z70,,,2,,FFCD28,3C3C3C
11452.,198,Z70,,,2,,FFCD28,3C3C3C
11453.,198,Z70,,,2,,FFCD28,3C3C3C
11454.,198,G70,,,2,,AACD46,FFFFFF
11455.,198,Z70,,,2,,FFCD28,3C3C3C
11456.,198,Z70,,,2,,FFCD28,3C3C3C
11457.,198,Z70,,,2,,FFCD28,3C3C3C
11458.,198,Z70,,,2,,FFCD28,3C3C3C
11459.,198,Z70,,,2,,FFCD28,3C3C3C
11460.,198,Z70,,,2,,FFCD28,3C3C3C
11461.,198,Z70,,,2,,FFCD28,3C3C3C
11462.,198,Z70,,,2,,FFCD28,3C3C3C
11465.,198,G70,,,2,,AACD46,FFFFFF
11466.,198,G70,,,2,,AACD46,FFFFFF
11471.,198,G70,,,2,,AACD46,FFFFFF
11477.,198,G70,,,2,,AACD46,FFFFFF
11478.,198,G70,,,2,,AACD46,FFFFFF
11483.,198,G70,,,2,,AACD46,FFFFFF
11493.,198,G70,,,2,,AACD46,FFFFFF
11512.,198,S70,,,2,,00AFF0,FFFFFF
11514.,198,S70,,,2,,00AFF0,FFFFFF
11515.,198,G70,,,2,,AACD46,FFFFFF
11517.,198,G70,,,2,,AACD46,FFFFFF
11518.,198,G70,,,2,,AACD46,FFFFFF
11548.,198,S70,,,2,,00AFF0,FFFFFF
11549.,198,S70,,,2,,00AFF0,FFFFFF
11550.,198,S70,,,2,,00AFF0,FFFFFF
11552.,198,G70,,,2,,AACD46,FFFFFF
11594.,198,G70,,,2,,AACD46,FFFFFF
11594.1,198,G70,,,3,"https://www.mavcsoport.hu/mav-start/belfoldi-utazas/vaganyzar",ffff00,000000
11595.,198,G70,,,2,,AACD46,FFFFFF
11595.1,198,G70,,,3,"https://www.mavcsoport.hu/mav-start/belfoldi-utazas/vaganyzar",ffff00,000000
11596.,198,G70,,,2,,AACD46,FFFFFF
11596.1,198,G70,,,3,"https://www.mavcsoport.hu/mav-start/belfoldi-utazas/vaganyzar",ffff00,000000
11597.,198,Z70,,,2,,FFCD28,3C3C3C
11597.1,198,Z70,,,3,"https://www.mavcsoport.hu/mav-start/belfoldi-utazas/vaganyzar",ffff00,000000
11611.,198,G70,,,2,,AACD46,FFFFFF
11615.,198,G70,,,2,,AACD46,FFFFFF
11643.,198,G70,,,2,,AACD46,FFFFFF
11753.,198,Z70,,,2,,FFCD28,3C3C3C
11754.,198,S70,,,2,,00AFF0,FFFFFF
11806.,198,S70,,,2,,00AFF0,FFFFFF
11848.,198,S50,,,2,,00AFF0,FFFFFF
11849.,198,S50,,,2,,00AFF0,FFFFFF
11850.,198,S50,,,2,,00AFF0,FFFFFF
11851.,198,S50,,,2,,00AFF0,FFFFFF
11852.,198,S50,,,2,,00AFF0,FFFFFF
11853.,198,S50,,,2,,00AFF0,FFFFFF
11856.,198,S50,,,2,,00AFF0,FFFFFF
11856.1,198,S50,,,3,"https://www.mavcsoport.hu/mav-start/belfoldi-utazas/vaganyzar",ffff00,000000
11856.2,198,S50,,,2,,00AFF0,FFFFFF
11857.,198,S50,,,2,,00AFF0,FFFFFF
11857.1,198,S50,,,3,"https://www.mavcsoport.hu/mav-start/belfoldi-utazas/vaganyzar",ffff00,000000
11857.2,198,S50,,,2,,00AFF0,FFFFFF
11858.,198,S50,,,2,,00AFF0,FFFFFF
11858.1,198,S50,,,3,"https://www.mavcsoport.hu/mav-start/belfoldi-utazas/vaganyzar",ffff00,000000
11858.2,198,S50,,,2,,00AFF0,FFFFFF
11859.,198,S50,,,2,,00AFF0,FFFFFF
